"from_iso3","to_iso3","q_initial","net_initial","trade_USD_t","adv","sdt_USD_t","dummy_q_initial","SPAM_code"
"ARG","AUS",0.5678868,0.5678868,418.191956121282,0.025,46.0379971943104,1,"COCOA"
"ARG","BRA",2.9022945,-11.367422,53.6658101017255,0.110636957819419,178.698787986893,1,"COCOA"
"ARG","CAN",0.1447721,0.1447721,309.85477039527,0.24183333333,445.340892853491,1,"COCOA"
"ARG","CHN",0.1341367,-0.7479182,758.993342918191,0.099,182.310468889469,1,"COCOA"
"ARG","COL",0.2607545,0.00189830000000002,125.855190119886,0.0732,134.799255784941,1,"COCOA"
"ARG","DEU",0,-0.2221966,315.905127977025,0.06172029833,113.659156853942,0,"COCOA"
"ARG","IDN",0,-0.1866863,551.578138281287,0.1225,225.586186252121,0,"COCOA"
"ARG","MEX",0,-0.3664594,102.695584332508,0.08874986702,163.434645154487,0,"COCOA"
"ARG","RUS",0.0191702,0.0191702,532.106188071869,0.0549750668,101.237678843817,1,"COCOA"
"ARG","R_ASP",1.6893469,-0.8861319,568.356409637382,0.136644752803889,277.407237314096,1,"COCOA"
"ARG","R_CSA",7.5069971,-5.7913945,119.120748580812,0.0871357142857143,232.464263032951,1,"COCOA"
"ARG","R_NEU",0,-0.1005943,362.317307407593,0.0900245871914286,165.782067701518,0,"COCOA"
"ARG","R_NMC",0.6293107,0.6293107,472.490599863804,0.1217003413496,259.514581291048,1,"COCOA"
"ARG","R_OEU",0.8077042,-3.3143104,401.962915564908,0.061069170645,102.867575621281,1,"COCOA"
"ARG","R_SSA",0.1001609,-0.2572467,279.384673732694,0.216096153846154,357.467341291823,1,"COCOA"
"ARG","TUR",0,-0.2046334,362.317307407593,0.09818060456,180.801535890759,0,"COCOA"
"ARG","USA",0.2761702,-0.629863,278.702225063273,0.05126912498,94.4131132793596,1,"COCOA"
"AUS","ARG",0,-0.5678868,569.516911017818,0.154,283.594062716952,0,"COCOA"
"AUS","BRA",0.0918092,0.0918092,516.937415909443,0.154,283.594062716952,1,"COCOA"
"AUS","CAN",0.5931493,0.1990712,569.309353813952,0.22083333333,406.66897521027,1,"COCOA"
"AUS","CHN",0.3155279,-5.8304664,264.932525683729,0.116685081637913,173.82235157955,1,"COCOA"
"AUS","COL",0.0156769,-0.0083615,561.817480545307,0.12666666667,233.259185790645,1,"COCOA"
"AUS","DEU",0.0112248,-10.4136838,618.851096325875,0.04361926053,80.3257357559214,1,"COCOA"
"AUS","DNK",0,-0.0741446,319.664161222784,0.04361926053,80.3257357559214,0,"COCOA"
"AUS","GBR",0.11037235,-4.51061855,636.947543622053,0.04361926053,80.3257357559214,1,"COCOA"
"AUS","GRC",0,-0.0692712,319.664161222784,0.04361926053,80.3257357559214,0,"COCOA"
"AUS","IDN",2.7554044,-4.3259767,138.629881525886,0.0025,4.60379971943104,1,"COCOA"
"AUS","IND",0.0288794,-0.1101256,321.546516256083,0.3,552.455966331725,1,"COCOA"
"AUS","NPL",0.0104199,0.0104199,317.470226966375,0.195,359.096378115621,1,"COCOA"
"AUS","RUS",0,-0.0254861,271.344387812745,0.04010372644,73.8518098130445,0,"COCOA"
"AUS","R_ASP",43.93948125,12.68700485,173.986779738246,0.102978487315,243.818913089947,1,"COCOA"
